Ranking,University,Location,Tuition,Enrollment
#151,Michigan Technological University,"Houghton, MI","$41,340
 (out-of-state)
$18,392
 (in-state)","5,710
 (fall 2022)"
#151,Seton Hall University,"South Orange, NJ","$51,370","6,012
 (fall 2022)"
#151,Simmons University,"Boston, MA","$45,538","1,789
 (fall 2022)"
#151,University of Kansas,"Lawrence, KS","$28,035
 (out-of-state)
$11,167
 (in-state)","19,241
 (fall 2022)"
#151,University of Rhode Island,"Kingston, RI","$35,804
 (out-of-state)
$16,408
 (in-state)","13,927
 (fall 2022)"
#159,Stockton University,"Galloway, NJ","$23,420
 (out-of-state)
$15,532
 (in-state)","8,138
 (fall 2022)"
#159,University of Kentucky,"Lexington, KY","$33,406
 (out-of-state)
$13,212
 (in-state)","22,735
 (fall 2022)"
#159,University of Massachusetts--Lowell,"Lowell, MA","$35,396
 (out-of-state)
$16,570
 (in-state)","12,391
 (fall 2022)"
#159,University of Nebraska -- Lincoln,"Lincoln, NE","$27,748
 (out-of-state)
$10,108
 (in-state)","19,189
 (fall 2022)"
#163,Adelphi University,"Garden City, NY","$47,290","5,055
 (fall 2022)"
#163,Montclair State University,"Montclair, NJ","$22,470
 (out-of-state)
$14,767
 (in-state)","17,290
 (fall 2022)"
#163,Rowan University,"Glassboro, NJ","$25,564
 (out-of-state)
$15,700
 (in-state)","15,264
 (fall 2022)"
#163,Seattle University,"Seattle, WA","$54,285","4,099
 (fall 2022)"
#163,St. John's University (NY),"Queens, NY","$50,110","15,652
 (fall 2022)"
#163,University of Mississippi,"University, MS","$26,980
 (out-of-state)
$9,412
 (in-state)","17,302
 (fall 2022)"
#163,University of St. Thomas (MN),"St. Paul, MN","$52,284","5,942
 (fall 2022)"
#170,California State University--San Bernardino,"San Bernardino, CA","$14,311
 (out-of-state)
$7,679
 (in-state)","16,813
 (fall 2022)"
#170,Florida A&M University,"Tallahassee, FL","$17,725
 (out-of-state)
$5,785
 (in-state)","7,709
 (fall 2022)"
#170,Kansas State University,"Manhattan, KS","$27,816
 (out-of-state)
$10,942
 (in-state)","15,046
 (fall 2022)"
#170,Mercer University,"Macon, GA","$40,890","4,859
 (fall 2022)"
#170,Quinnipiac University,"Hamden, CT","$53,090","6,073
 (fall 2022)"
#170,The University of Alabama,"Tuscaloosa, AL","$33,200
 (out-of-state)
$11,900
 (in-state)","32,458
 (fall 2022)"
#170,University of Hawaii at Manoa,"Honolulu, HI","$34,218
 (out-of-state)
$12,186
 (in-state)","14,198
 (fall 2022)"
#170,University of La Verne,"La Verne, CA","$48,300","2,414
 (fall 2022)"
#178,The Catholic University of America,"Washington, DC","$55,834","3,011
 (fall 2022)"
#178,Drake University,"Des Moines, IA","$50,114","2,835
 (fall 2022)"
#178,Ohio University,"Athens, OH","$24,114
 (out-of-state)
$13,746
 (in-state)","17,860
 (fall 2022)"
#178,San Francisco State University,"San Francisco, CA","$19,404
 (out-of-state)
$7,524
 (in-state)","21,868
 (fall 2022)"
#178,University of Arkansas,"Fayetteville, AR","$28,772
 (out-of-state)
$9,748
 (in-state)","26,269
 (fall 2022)"
#178,University of North Carolina--Charlotte,"Charlotte, NC","$21,338
 (out-of-state)
$7,214
 (in-state)","23,461
 (fall 2022)"
#178,Washington State University,"Pullman, WA","$29,073
 (out-of-state)
$12,997
 (in-state)","22,612
 (fall 2022)"
#185,Bradley University,"Peoria, IL","$39,680","4,143
 (fall 2022)"
#185,California State University--Fresno,"Fresno, CA","$13,112
 (out-of-state)
$6,974
 (in-state)","21,305
 (fall 2022)"
#185,Hofstra University,"Hempstead, NY","$55,450","6,110
 (fall 2022)"
